vk_id,friends_count,photo_count,likes_total,average_likes,groups_count,average_member,male_ratio,female_ratio,unknown_ratio,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,pe_0,pe_1,pe_2,pe_3,pagerank,degree,clustering,betweenness
151578028,0.75767916,0.7679181,0.92491466,0.9556314,0.29351535,0.6894198,0.3890785,0.6416382,0.0,0.6825939,0.48293516,0.20648465,0.12798634,0.6672355,1.7537485,-0.60523474,-1.0986041,-0.37622744,0.008934299,-0.039324496,-0.2853738,-0.016308488
154948889,0.890785,0.8805461,0.89419794,0.6996587,0.6894198,0.7235495,0.890785,0.13651878,0.93174064,0.79010236,0.68430036,0.6365188,0.29863483,0.6177474,1.133074,-0.2262006,-0.69512194,0.21827595,0.7623586,0.7621296,-0.6943672,0.46301022
154964756,0.5102389,0.8976109,0.8498294,0.54948807,0.15017065,0.9931741,0.34812286,0.67918086,0.0,0.79010236,0.82764506,1.0,0.65358365,0.8020478,0.119159244,1.0099045,-1.3129052,0.42067903,-1.0294086,-0.99424857,1.2658305,-0.93938386
155932940,0.3208191,0.25255972,0.48464164,0.94880545,0.63822526,0.8225256,0.20819113,0.8191126,0.0,0.025597269,0.018771332,0.010238908,0.18600683,0.011945393,0.42538744,1.5480407,-1.2142223,0.14260496,0.029628932,0.028884364,-0.3000381,-0.3853959
155124305,0.24573378,0.7133106,0.75085324,0.7474403,0.57337886,0.6825939,0.32423207,0.70307165,0.0,0.46587032,0.40784982,0.2576792,0.3651877,0.20819113,0.33446494,1.017866,-0.87958604,-0.42994538,-0.1304051,-0.14163779,-0.3861422,-0.32815322
155837348,0.59726965,0.93856657,0.79522187,0.4129693,0.6006826,0.70989764,0.22354949,0.80716723,0.0,0.11945392,0.28498295,0.6757679,0.6877133,0.52901024,0.37872556,1.3986918,-1.1305941,0.59282535,0.09617746,0.062988795,-0.63026834,-0.04449147
156952018,0.8191126,0.94880545,0.96245736,0.7849829,0.5904437,0.44709897,0.11945392,0.9112628,0.0,0.88395905,0.6433447,0.78156996,0.7627986,0.7474403,-0.5106027,0.5282873,-0.56936014,0.48405913,-0.05503294,-0.022272281,-0.21995239,-0.41778266
161006987,0.30716723,0.0,0.0,0.0,0.35494882,0.90784985,0.88395905,0.14334472,0.0,0.63822526,0.48293516,0.32935154,0.6279864,0.72696245,0.79921573,1.3076427,-0.5691548,-0.024843698,-0.64286315,-0.65320426,-0.053485103,-0.6719086
161897026,0.7013652,0.7013652,0.890785,0.9590444,0.6518771,0.7918089,0.081911266,0.9453925,0.0,0.43515357,0.8020478,1.0,0.7627986,0.83788395,-0.6953637,0.30283254,-0.6974162,0.87559795,1.0145001,1.0690695,-0.34421656,0.21901353
161519273,0.9931741,0.9931741,0.93856657,0.36177474,0.034129694,0.044368602,0.6416382,0.38566554,0.92491466,0.6177474,0.22696246,0.7201365,0.778157,0.83788395,-1.4705006,-0.801908,1.0398166,-0.19954935,-1.1323892,-1.1647707,0.8498641,-0.78475934
162865257,0.48293516,0.0,0.0,0.0,0.0,0.0,0.35836178,0.668942,0.0,0.5546075,0.48293516,0.5546075,0.5699659,0.32593855,2.011705,-0.38957837,1.1803956,-0.07285991,0.011113072,-0.07342893,-0.5178056,0.26513207
169831171,0.5153584,0.36348122,0.4129693,0.6109215,0.3327645,0.27986348,0.7201365,0.30716723,0.0,0.0,0.0,0.0,0.0,0.0,2.0353768,-1.3156683,1.3416966,0.19268608,-0.5793159,-0.6190998,0.58318144,-0.53697115
168532536,0.9215017,0.9146758,0.98634815,0.9522184,0.6109215,0.6006826,0.12627986,0.9044369,0.0,0.88395905,0.6996587,0.5546075,0.49658704,0.88566554,0.07022838,1.0912163,-1.0429342,0.7042311,-0.5813849,-0.550891,0.5182406,-0.7809574
